,Date,Open,High,Low,Close*,Adj Close**,Volume
0,2019-09-19,3.31,3.31,2.94,3.13,3.13,184157574.0
1,2019-09-20,3.14,3.26,3.08,3.18,3.18,148024573.0
2,2019-09-21,3.18,3.29,3.04,3.07,3.07,146995495.0
3,2019-09-22,3.07,3.08,2.81,2.91,2.91,140188583.0
4,2019-09-23,2.92,2.92,2.58,2.58,2.58,129682436.0
5,2019-09-24,2.58,2.66,2.09,2.24,2.24,188249040.0
6,2019-09-25,2.23,2.42,2.16,2.3,2.3,177658028.0
7,2019-09-26,2.3,2.35,2.09,2.22,2.22,140448612.0
8,2019-09-27,,,,,,
9,2019-09-28,,,,,,
10,2019-09-29,,,,,,
11,2019-09-30,,,,,,
12,2019-10-01,,,,,,
13,2019-10-02,,,,,,
14,2019-10-03,,,,,,
15,2019-10-04,,,,,,
16,2019-10-05,,,,,,
17,2019-10-06,,,,,,
18,2019-10-07,,,,,,
19,2019-10-08,,,,,,
20,2019-10-09,,,,,,
21,2019-10-10,,,,,,
22,2019-10-11,,,,,,
23,2019-10-12,,,,,,
24,2019-10-13,,,,,,
25,2019-10-14,,,,,,
26,2019-10-15,,,,,,
27,2019-10-16,,,,,,
28,2019-10-17,,,,,,
29,2019-10-18,,,,,,
30,2019-10-19,,,,,,
31,2019-10-20,,,,,,
32,2019-10-21,,,,,,
33,2019-10-22,,,,,,
34,2019-10-23,,,,,,
35,2019-10-24,,,,,,
36,2019-10-25,,,,,,
37,2019-10-26,,,,,,
38,2019-10-27,,,,,,
39,2019-10-28,,,,,,
40,2019-10-29,,,,,,
41,2019-10-30,,,,,,
42,2019-10-31,,,,,,
43,2019-11-01,,,,,,
44,2019-11-02,,,,,,
45,2019-11-03,,,,,,
46,2019-11-04,,,,,,
47,2019-11-05,,,,,,
48,2019-11-06,,,,,,
49,2019-11-07,,,,,,
50,2019-11-08,,,,,,
51,2019-11-09,,,,,,
52,2019-11-10,,,,,,
53,2019-11-11,,,,,,
54,2019-11-12,,,,,,
55,2019-11-13,,,,,,
56,2019-11-14,,,,,,
57,2019-11-15,,,,,,
58,2019-11-16,,,,,,
59,2019-11-17,,,,,,
60,2019-11-18,,,,,,
61,2019-11-19,,,,,,
62,2019-11-20,,,,,,
63,2019-11-21,,,,,,
64,2019-11-22,,,,,,
65,2019-11-23,,,,,,
66,2019-11-24,,,,,,
67,2019-11-25,,,,,,
68,2019-11-26,,,,,,
69,2019-11-27,,,,,,
70,2019-11-28,,,,,,
71,2019-11-29,,,,,,
72,2019-11-30,4.02,4.1,3.83,3.93,3.93,160886605.0
73,2019-12-01,3.92,3.93,3.66,3.81,3.81,175883739.0
74,2019-12-02,3.79,3.93,3.62,3.68,3.68,151160801.0
75,2019-12-03,3.68,3.8,3.65,3.7,3.7,144705352.0
76,2019-12-04,3.69,3.74,3.46,3.6,3.6,188222589.0
77,2019-12-05,3.59,3.72,3.49,3.53,3.53,181266106.0
78,2019-12-06,3.52,3.69,3.51,3.67,3.67,182348856.0
79,2019-12-07,3.67,3.88,3.66,3.81,3.81,197409951.0
80,2019-12-08,3.81,4.0,3.74,3.95,3.95,201085483.0
81,2019-12-09,3.95,3.97,3.68,3.71,3.71,216632529.0
82,2019-12-10,3.7,3.73,3.55,3.6,3.6,207259326.0
83,2019-12-11,3.6,3.84,3.59,3.81,3.81,199495756.0
84,2019-12-12,3.83,4.17,3.79,4.12,4.12,230614356.0
85,2019-12-13,4.12,4.23,3.98,3.99,3.99,205959990.0
86,2019-12-14,3.98,4.28,3.98,4.24,4.24,191269095.0
87,2019-12-15,4.25,4.61,4.2,4.49,4.49,230817887.0
88,2019-12-16,4.49,4.5,4.06,4.08,4.08,207850289.0
89,2019-12-17,4.08,4.15,3.57,3.63,3.63,216347353.0
90,2019-12-18,3.61,4.46,3.6,4.3,4.3,260235131.0
91,2019-12-19,4.3,4.37,4.08,4.29,4.29,149541020.0
92,2019-12-20,4.29,4.38,4.19,4.31,4.31,142056809.0
93,2019-12-21,4.32,4.35,4.07,4.09,4.09,111080887.0
94,2019-12-22,4.09,4.28,4.08,4.27,4.27,119057895.0
95,2019-12-23,4.27,4.35,4.17,4.3,4.3,133651317.0
96,2019-12-24,4.31,4.48,4.26,4.42,4.42,127112410.0
97,2019-12-25,4.42,4.42,4.21,4.3,4.3,104967612.0
98,2019-12-26,4.3,4.62,4.3,4.58,4.58,139848139.0
99,2019-12-27,4.57,4.76,4.49,4.52,4.52,132653447.0
100,2019-12-28,4.52,4.72,4.41,4.41,4.41,117069172.0
101,2019-12-29,4.41,4.54,4.25,4.27,4.27,125572029.0
102,2019-12-30,4.27,4.42,4.15,4.19,4.19,126896246.0
103,2019-12-31,4.19,4.33,4.13,4.22,4.22,109928104.0
104,2020-01-01,4.22,4.47,4.2,4.38,4.38,107994513.0
105,2020-01-02,4.38,4.38,4.08,4.09,4.09,111325337.0
106,2020-01-03,4.11,4.36,4.02,4.25,4.25,138617691.0
107,2020-01-04,4.25,4.39,4.23,4.29,4.29,90718305.0
108,2020-01-05,4.28,4.4,4.22,4.23,4.23,115399788.0
109,2020-01-06,4.23,4.25,4.05,4.1,4.1,139523351.0
110,2020-01-07,4.11,4.25,4.07,4.1,4.1,136691939.0
111,2020-01-08,4.09,4.18,4.0,4.01,4.01,128484380.0
112,2020-01-09,4.01,4.26,3.96,4.26,4.26,137133708.0
113,2020-01-10,4.26,4.45,4.21,4.26,4.26,180537539.0
114,2020-01-11,4.26,4.43,4.26,4.28,4.28,134305838.0
115,2020-01-12,4.27,4.35,4.23,4.26,4.26,114480179.0
116,2020-01-13,4.26,4.33,4.13,4.26,4.26,112376034.0
117,2020-01-14,4.25,4.67,4.24,4.54,4.54,218081722.0
118,2020-01-15,4.54,4.93,4.4,4.57,4.57,256937834.0
119,2020-01-16,4.57,5.2,4.2,5.08,5.08,292509993.0
120,2020-01-17,5.1,5.29,4.77,5.0,5.0,314099418.0
121,2020-01-18,5.0,5.0,4.62,4.63,4.63,218755859.0
122,2020-01-19,4.64,4.76,4.39,4.52,4.52,195479921.0
123,2020-01-20,4.51,4.66,4.42,4.51,4.51,142814531.0
124,2020-01-21,4.5,4.73,4.46,4.65,4.65,138311353.0
125,2020-01-22,4.64,4.69,4.57,4.65,4.65,131623772.0
126,2020-01-23,4.65,4.68,4.38,4.44,4.44,157800493.0
127,2020-01-24,4.45,4.52,4.35,4.48,4.48,161825964.0
128,2020-01-25,4.49,4.49,4.37,4.42,4.42,132055630.0
129,2020-01-26,4.41,4.5,4.37,4.48,4.48,131819511.0
130,2020-01-27,4.48,4.67,4.43,4.52,4.52,166514161.0
131,2020-01-28,4.52,4.59,4.48,4.59,4.59,201500979.0
132,2020-01-29,4.59,4.59,4.36,4.41,4.41,195873920.0
133,2020-01-30,4.41,4.47,4.3,4.41,4.41,193799097.0
134,2020-01-31,4.42,4.6,4.3,4.39,4.39,199363105.0
135,2020-02-01,4.39,4.43,4.3,4.38,4.38,153198031.0
136,2020-02-02,4.37,4.47,4.25,4.41,4.41,166048379.0
137,2020-02-03,4.41,4.46,4.25,4.26,4.26,169613306.0
